scenario,region,variables,unit,2019,2050
Extensive reindustrialization - M23,FR,Production|Liquid fuel|Diesel|Diesel,%,0,0
Extensive reindustrialization - M23,FR,Production|Liquid fuel|Petrol|Bioethanol,%,100,100
Extensive reindustrialization - M23,FR,Production|Liquid fuel|Petrol|Petrol,%,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Refineries|Electrolysis,TWh/year,0.9,0.9
Extensive reindustrialization - M23,FR,Production|Hydrogen|Refineries|Steam methane reforming,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Refineries|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Refineries|Co-produced|Oil refining,TWh/year,1.9,1.9
Extensive reindustrialization - M23,FR,Production|Hydrogen|Refineries|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Refineries|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Refineries|Co-produced|Ammonia,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Ammonia|Electrolysis,TWh/year,4.9,4.9
Extensive reindustrialization - M23,FR,Production|Hydrogen|Ammonia|Steam methane reforming,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Ammonia|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Ammonia|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Ammonia|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Ammonia|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Ammonia|Co-produced|Ammonia,TWh/year,0.5,0.5
Extensive reindustrialization - M23,FR,Production|Hydrogen|Chemicals|Electrolysis,TWh/year,1,1
Extensive reindustrialization - M23,FR,Production|Hydrogen|Chemicals|Steam methane reforming,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Chemicals|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Chemicals|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Chemicals|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Chemicals|Co-produced|Chemicals,TWh/year,0.6,0.6
Extensive reindustrialization - M23,FR,Production|Hydrogen|Chemicals|Co-produced|Ammonia,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Steel|Electrolysis,TWh/year,5,5
Extensive reindustrialization - M23,FR,Production|Hydrogen|Steel|Steam methane reforming,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Steel|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Steel|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Steel|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Steel|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Steel|Co-produced|Ammonia,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Others|Electrolysis,TWh/year,0.3,0.3
Extensive reindustrialization - M23,FR,Production|Hydrogen|Others|Steam methane reforming,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Others|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Others|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Others|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Others|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - M23,FR,Production|Hydrogen|Others|Co-produced|Ammonia,TWh/year,0,0
Extensive reindustrialization - N03,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,0.9975,0.9975
Extensive reindustrialization - N03,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,64
Extensive reindustrialization - N03,FR,Production|Electricity|Low to medium,TWh/year,1,1
Extensive reindustrialization - N03,FR,Production|Electricity|Medium to high,TWh/year,1,1
Extensive reindustrialization - N03,FR,Production|Electricity|Import,TWh/year,23.55480363,23.55480363
Extensive reindustrialization - N03,FR,Consumption|Electricity|Export,TWh/year,38.35480363,38.35480363
