scenario;region;variables;unit;2019;2040
Extensive reindustrialization - M23;FR;Production|Hydrogen|Ammonia|Co-produced|Chemicals;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Ammonia|Co-produced|Ammonia;TWh/year;0.6;0.6
Extensive reindustrialization - M23;FR;Production|Hydrogen|Chemicals|Electrolysis;TWh/year;1;1
Extensive reindustrialization - M23;FR;Production|Hydrogen|Chemicals|Steam methane reforming;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Chemicals|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Chemicals|Co-produced|Oil refining;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Chemicals|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Chemicals|Co-produced|Chemicals;TWh/year;0.6;0.6
Extensive reindustrialization - M23;FR;Production|Hydrogen|Chemicals|Co-produced|Ammonia;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Steel|Electrolysis;TWh/year;2;2
Extensive reindustrialization - M23;FR;Production|Hydrogen|Steel|Steam methane reforming;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Steel|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Steel|Co-produced|Oil refining;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Steel|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Steel|Co-produced|Chemicals;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Steel|Co-produced|Ammonia;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Others|Electrolysis;TWh/year;0.3;0.3
Extensive reindustrialization - M23;FR;Production|Hydrogen|Others|Steam methane reforming;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Others|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Others|Co-produced|Oil refining;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Others|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Others|Co-produced|Chemicals;TWh/year;0;0
Extensive reindustrialization - M23;FR;Production|Hydrogen|Others|Co-produced|Ammonia;TWh/year;0;0
Extensive reindustrialization - N03;FR;Distribution losses|Gaseous fuel|Low to high;PJ/year;0.9975;0.9975
Extensive reindustrialization - N03;FR;Efficiency|Electricity|Hydrogen|Fuel cell;%;50;62
Extensive reindustrialization - N03;FR;Production|Electricity|Low to medium;TWh/year;1;1
Extensive reindustrialization - N03;FR;Production|Electricity|Medium to high;TWh/year;1;1
Extensive reindustrialization - N03;FR;Production|Electricity|Import;TWh/year;5.922826855;5.922826855
Extensive reindustrialization - N03;FR;Consumption|Electricity|Export;TWh/year;83.52282686;83.52282686
Extensive reindustrialization - N03;FR;Production|Electricity|Total without production from flexibility;TWh/year;708.7;708.7
Extensive reindustrialization - N03;FR;Production|Electricity|Conventional|Coal;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Electricity|Conventional|Fuel oil;TWh/year;0;0
Extensive reindustrialization - N03;FR;Production|Electricity|Conventional|Natural gas;TWh/year;1.676078212;1.676078212
Extensive reindustrialization - N03;FR;Production|Electricity|Conventional|Waste;TWh/year;1.587863569;1.587863569
Extensive reindustrialization - N03;FR;Production|Electricity|Hydro|Reservoir;TWh/year;8.863807303;8.863807303
Extensive reindustrialization - N03;FR;Production|Electricity|Run-of-river hydro;TWh/year;46.53498834;46.53498834
Extensive reindustrialization - N03;FR;Production|Electricity|Nuclear|Evolutionary Power Reactor;TWh/year;38.90265745;38.90265745
Extensive reindustrialization - N03;FR;Production|Electricity|Nuclear|Pressure water reactor;TWh/year;288.6383111;288.6383111
Extensive reindustrialization - N03;FR;Production|Electricity|Nuclear|Small Modular Reactor;TWh/year;5.910381064;5.910381064
Extensive reindustrialization - N03;FR;Production|Electricity|Renewable|Biomass;TWh/year;8.645034989;8.645034989
Extensive reindustrialization - N03;FR;Production|Electricity|Renewable|Photovoltaic;TWh/year;73.65922669;73.65922669
Extensive reindustrialization - N03;FR;Production|Electricity|Renewable|Sea;TWh/year;0;0
