scenario,region,variables,unit,2019,2030,2040,2050,2060
Extensive reindustrialization - N03,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Extensive reindustrialization - N03,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Extensive reindustrialization - N03,FR,Production|Electricity|Import,TWh/year,2.035906643,3.611396304,5.922826855,23.55480363,52.83915408
Extensive reindustrialization - N03,FR,Consumption|Electricity|Export,TWh/year,58.73590664,97.4113963,83.52282686,38.35480363,86.03915408
Extensive reindustrialization - N03,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,620.8,708.7,775.2,788.1
Extensive reindustrialization - N03,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0.67446985,0,0,0
Extensive reindustrialization - N03,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,0.96955041,0,0,0
Extensive reindustrialization - N03,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,17.07251808,1.676078212,0.38020908,0
Extensive reindustrialization - N03,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.686174625,1.587863569,1.710940858,1.603488799
Extensive reindustrialization - N03,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,7.87780785,8.863807303,9.535643718,8.936777574
Extensive reindustrialization - N03,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,41.35849121,46.53498834,50.06212952,46.91808226
Extensive reindustrialization - N03,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,18.59007524,38.90265745,153.2242591,242.9285531
Extensive reindustrialization - N03,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,297.6941301,288.6383111,140.867464,24.31958012
Extensive reindustrialization - N03,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,2.824342497,5.910381064,25.47400834,37.23657323
Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.220101298,8.645034989,9.315122452,8.730105685
Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,40.08880172,73.65922669,110.925999,107.7009977
Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,34.35580799,71.89493384,132.5979165,127.031946
Extensive reindustrialization - N03,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,51.97633283,78.86389061,102.7515038,96.65474151
Extensive reindustrialization - N03,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,8.1,10.7,13.1,12.7
